,words,tag
325,토요일,NNG
326,엔,JKB+JX
327,비,NNG
328,가,JKS
329,온다고,VV+EC
330,하,VV
331,는데,EC
332,실내,NNG
333,데이트,NNG
334,가능,NNG
335,한,XSA+ETM
336,곳,NNG
337,도,JX
338,알려,VV+EC
339,주,VX
340,시,EP
341,면,EC
342,감사,NNG
343,하,XSV
344,겠,EP
345,습니다,EF
346,숙소,NNG
347,는,JX
348,전주,NNP
349,한옥,NNG
350,마을,NNG
351,근처,NNG
352,에,JKB
353,잡,VV
354,았,EP
355,습니다,EF
356,토,NNP
357,한옥마을,NNP
358,구경,NNG
359,후,NNG
360,전주,NNP
361,1,SN
362,박,NNBC
363,2,SN
364,일,NNBC
365,여행,NNG
366,저녁,NNG
367,엔,JKB+JX
368,전,MM
369,주천,NNG
370,산책,NNG
371,길,NNG
372,따라,VV+EC
373,걷,VV
374,거나,EC
375,한옥,NNG
376,마을,NNG
377,근처,NNG
378,에서,JKB
379,야경,NNG
380,즐기,VV
381,시,EP
382,는,ETM
383,것,NNB
384,도,JX
385,너무,MAG
386,좋,VA
387,답니다,EF
388,혹시,MAG
389,일정,NNG
390,이나,JC
391,관심,NNG
392,있,VA
393,는,ETM
394,테마,NNG
395,사진,NNG
396,카페,NNG
397,체험,NNG
398,등,NNB
399,더,MAG
400,알려,VV+EC
401,주,VX
402,시,EP
403,면,EC
404,맞춤,VV+EC
405,추천,NNG
406,도,JX
407,해,VV+EC
408,드릴,VX+ETM
409,수,NNB
410,있,VV
411,어요,EF
412,즐거운,VA+ETM
413,전주,NNG
414,여행,NNG
415,되,XSV
416,시,EP
417,길,ETN+JKO
418,바랄,VV+ETM
419,게요,NNB+VCP+EC
420,전주,NNG
421,여행,NNG
422,코스,NNG
423,추천,NNG
424,이,VCP
425,요,EC
426,~!,SY
427,영화제,NNG
428,기간,NNG
429,일정,NNG
430,으로,JKB
431,2,SN
432,박,NNBC
433,3,SN
434,일,NNBC
435,전주,NNG
436,여행,NNG
437,좀,MAG
438,가,VV
439,볼까,EC+VX+EC
440,해서,VV+EC
441,요,MM
442,여행,NNG
443,코스,NNG
444,추천,NNG
445,좀,MAG
446,해,VV+EC
447,주,VX
448,세요,EP+EF
449,어차피,MAG
450,주목적,NNG
451,은,JX
452,전주국,NNG
453,제,XSN
454,영화제,NNG
455,니까,VCP+EC
456,많,VA
457,은,ETM
458,곳,NNG
459,을,JKO
460,둘러보,VV
461,지,EC
462,는,JX
463,못,MAG
464,할,VV+ETM
465,거,NNB
466,에요,VCP+EF
467,그냥,MAG
468,전주,NNG
469,하,XSV
470,면,EC
471,꼭,MAG
472,가,VV
473,볼,EC+VX+ETM
474,만,NNB
475,한,XSA+ETM
476,곳,NNG
477,알짜배기,NNG
478,만,JX
479,추천,NNG
480,해,XSV+EC
481,주,VX
482,세,VA
483,욜,EC
484,전주,NNG
485,전주,NNG
486,여행,NNG
487,전,NNG
488,주로,MAG
489,커플,NNG
490,여행,NNG
491,가,VV
492,려고,EC
493,하,VV
494,는데,EC
495,추천,NNG
496,좀,MAG
497,해,VV+EC
498,주,VX
499,세요,EP+EF
500,숙소,NNG
501,는,JX
502,잡,VV
503,았,EP
504,고,EC
505,놀,VX+ETM
506,거리,NNG
507,랑,JKB
508,맛집,NNG
509,등등,NNB
510,추천,NNG
511,해,XSV+EC
512,주,VX
513,시,EP
514,면,EC
515,감사,NNG
516,하,XSV
517,겠,EP
518,습니다,EF
519,한옥마을,NNP
520,은,JX
521,갈,VV+ETM
522,겁니다,NNB+VCP+EF
523,답변,NNG
524,이,JKS
525,도움,NNG
526,되,XSV
527,셨,EP+EP
528,으면,EC
529,좋,VA
530,겠,EP
531,습니다,EF
532,한옥마을,NNP
533,전주,NNP
534,한옥마을,NNP
535,전주,NNP
536,맛집,NNG
537,전주,NNG
538,놀,VV
539,거리,EC
540,전주,NNG
541,여행,NNG
542,추천,NNG
543,추석,NNG
544,전주,NNG
545,여행,NNG
546,16,SN
547,18,SN
548,일,NNBC
549,전,NNG
550,주로,MAG
551,여행,NNG
552,가,VV
553,려고,EC
554,하,VV
555,는데,EC
556,그때,NNG
557,한옥마을,NNP
558,같,VA
559,은,ETM
560,관광지,NNG
561,들,XSN
562,은,JX
563,문,NNG
564,닫,VV
565,을까요,EC
566,추석,NNG
567,당일,NNG
568,은,JX
569,문,NNG
570,을,JKO
571,닫,VV
572,습니다,EF
573,전주,NNG
574,에,JKB
575,도,JX
576,이벤트,NNG
577,가,JKS
578,진행,NNG
579,중,NNB
580,입니다,VCP+EC
581,8,SN
582,27,SN
583,화,NNG
584,10,SN
585,13,SN
586,일,NNBC
587,한국,NNP
588,관광공사,NNP
589,에서,JKB
590,숙박,NNG
591,세일,NNG
592,페스타,NNP
593,이벤트,NNG
594,가,JKS
595,진행,NNG
596,중,NNB
597,입니다,VCP+EC
598,3,SN
599,만,NR
600,원,NNBC
601,전주,NNG
602,여행,NNG
603,전,NNG
604,연령,NNG
605,렌트카,NNG
606,추천,NNG
607,이번,NNG
608,에,JKB
609,전주,NNG
610,여행,NNG
611,2,SN
612,박,NNBC
613,3,SN
614,일,NNBC
615,로,JKB
616,가,VV
617,는,ETM
618,저,NP
619,는,JX
620,21,SN
621,살,NNBC
622,만,NNB
623,으로,JKB
624,만,MM
625,19,SN
626,세,NNBC
627,입니다,VCP+EF
628,전주,NNG
629,전,NNG
630,연령,NNG
631,자동차,NNG
632,추천,NNG
633,좀,MAG
634,부탁,NNG
635,드리,VV
636,겠,EP
637,습니다,EF
638,그리고,MAJ
639,가격,NNG
640,도,JX
641,2,SN
642,일,NNBC
643,렌트,NNG
644,하,XSV
645,면,EC
646,총,MM
647,어느,MM
648,정도,NNG
649,나올까요,VV+EF
650,전,MM
651,주,NNG
652,에서,JKB
653,21,SN
654,세,NNBC
655,이상,NNG
656,렌트,NNG
657,가능,NNG
658,한,XSA+ETM
659,자동차,NNG
660,를,JKO
661,찾아보,VV
662,세요,EP+EF
663,가격,NNG
664,은,JX
665,전주,NNP
666,-,SY
667,포항,NNP
668,여행,NNG
669,전주,NNG
670,에서,JKB
671,포항,NNP
672,까지,JX
673,여행,NNG
674,기차,NNG
675,가,JKS
676,나,VV
677,을까요,EC
678,버스,NNG
679,가,JKS
680,나,VV
681,을까요,EC
682,안녕,NNG
683,하,XSV
684,세요,EP+EF
685,전,MM
686,주,NNG
687,에서,JKB
688,포항,NNP
689,까지,JX
690,여행,NNG
691,을,JKO
692,할,VV+ETM
693,때,NNG
694,기차,NNG
695,와,JC
696,버스,NNG
697,각각,MAG
698,장단점,NNG
699,이,JKS
700,있,VV
701,으므로,EC
702,어떤,MM
703,방법,NNG
704,이,JKS
705,더,MAG
706,나,VV
707,은지,EC
708,결정,NNG
709,하,XSV
710,는,ETM
711,데,NNB
712,있,VV
713,어,EC
714,몇,MM
715,가지,NNBC
716,요소,NNG
717,를,JKO
718,고려,NNG
719,할,XSV+ETM
720,필요,NNG
721,가,JKS
722,있,VA
723,습니다,EF
724,1,SN
725,전주,NNP
726,펜션,NNG
727,한옥,NNG
728,으로,JKB
729,된,VV+ETM
730,곳,NNG
731,이,VCP
732,요,EF
733,!,SF
734,이번,NNG
735,에,JKB
736,남자,NNG
737,친구,NNG
738,랑,JKB
739,같이,MAG
740,2,SN
741,박,NNBC
742,3,SN
743,일,NNBC
744,전주,NNG
745,여행,NNG
746,가,VV
747,기,ETN
748,로,JKB
749,해서,VV+EC
750,얼른,MAG
751,전주,NNP
752,펜션,NNG
753,알,VV
754,아,EC
755,봐야,VX+EC
756,하,VV
757,는데,EC
758,한옥,NNG
759,마을,NNG
760,근처,NNG
761,나,JC
762,한옥,NNG
763,느낌,MAG
764,나,NP
765,는,JX
766,전주,NNP
767,펜션,NNG
768,쪽,NNB
769,으로,JKB
770,갈,VV+ETM
771,만,NNB
772,한,XSA+ETM
773,데,NNB
774,없,VA
775,을까요,EC
776,내부,NNG
777,는,JX
778,정감,NNG
779,있,VV
780,는,ETM
781,분위기,NNG
782,면,VCP+EC
783,다,MAG
784,좋,VA
785,을,ETM
786,것,NNB
787,같,VA
788,아요,EF
789,빠른,VA+ETM
790,답변,NNG
791,꼭,MAG
792,부탁,NNG
793,드,VV
794,랴,EC
795,용,NNG
796,전주,NNG
797,여행,NNG
798,주세요,NNP
799,전주,NNG
800,는,JX
801,한옥마을,NNP
802,로,JKB
803,유명,XR
804,한,XSA+ETM
805,완산구,NNP
806,가,JKS
807,있,VA
808,으며,EC
809,덕진구,NNP
810,또한,MAJ
811,멋진,VA+ETM
812,추억,NNG
813,을,JKO
814,가진,VV+ETM
815,장소,NNG
816,가,JKS
817,많이,MAG
818,있,VA
819,습니다,EF
820,완산구,NNP
821,덕진구,NNP
822,에,JKB
823,대해서,VV+EC
824,여행지,NNG
825,를,JKO
826,전주,NNG
827,뚜벅,MAG
828,이,MM
829,여행,NNG
830,5,SN
831,월,NNBC
832,달,NNG
833,에,JKB
834,엄마,NNG
835,랑,JC
836,전,NP+JX
837,주로,MAG
838,뚜벅,MAG
839,이,MM
840,여행,NNG
841,계획,NNG
842,중,NNB
843,인데,VCP+EC
844,답변,NNG
845,부탁,NNG
846,드려요,VV+EC
847,1,SN
848,기차,NNG
849,랑,JKB
850,고속버스,NNG
851,중,NNB
852,에,JKB
853,어떤,MM
854,걸,NNB+JKO
855,타,VV
856,는,ETM
857,게,NNB+JKS
858,좋,VA
859,을까요,EC
860,2,SN
861,전주,NNG
862,에,JKB
863,도착,NNG
864,해서,XSV+EC
865,관광,NNG
866,할,XSV+ETM
867,때,NNG
868,이용,NNG
869,할,XSV+ETM
870,수,NNB
871,있,VV
872,는,ETM
873,교통수단,NNG
874,은,JX
875,어떤,MM
876,게,NNB+JKS
877,있,VA
878,을까요,EC
879,3,SN
880,숙소,NNG
881,추천,NNG
882,도,JX
883,부탁드려요,VV+EF
884,서울,NNP
885,전주,NNG
886,당일치기,NNG
887,여행,NNG
888,요,JX
889,어렵,VA
890,네요,EF
891,전주,NNG
892,당일치기,NNG
893,여행,NNG
894,을,JKO
895,계획,NNG
896,중,NNB
897,이,VCP
898,시,EP
899,군요,EF
900,전,MM
901,주역,NNP
902,에서,JKB
903,한옥마을,NNP
904,까지,JX
905,가,VV
906,는,ETM
907,방법,NNG
908,과,JC
909,당일치기,NNG
910,코스,NNG
911,를,JKO
912,알려,VV+EC
913,드릴게요,VX+EF
914,전,MM
915,주역,NNP
916,에서,JKB
917,한옥마을,NNP
918,까지,JX
919,가,VV
920,는,ETM
921,방법,NNG
922,으로,JKB
923,는,JX
924,택시,NNG
925,와,JC
926,버스,NNG
927,가,JKS
928,있,VA
929,어요,EF
930,전,MM
931,주역,NNP
932,에서,JKB
933,한옥마을,NNP
934,까지,JX
935,택시,NNG
936,를,JKO
937,전주,NNG
938,여행,NNG
939,2,SN
940,박,NNBC
941,3,SN
942,일,NNBC
943,경비,NNG
944,보통,NNG
945,전주,NNG
946,여행,NNG
947,2,SN
948,박,NNBC
949,3,SN
950,일,NNBC
951,경비,NNG
952,가,JKS
953,얼마,NNG
954,정도,NNG
955,드나,VV
956,요,EC
957,숙소,NNG
958,는,JX
959,1,SN
960,박,NNBC
961,에,JKB
962,13,SN
963,만,NR
964,원,NNBC
965,인데,VCP+EC
966,를,JKO
967,가,VV
968,려고,EC
969,하,VV
970,는,ETM
971,데,NNB
972,비싼,VA+ETM
973,건가요,NNB+VCP+EC
974,질문,NNG
975,에,JKB
976,도움,NNG
977,이,JKS
978,되,VV
979,는,ETM
980,답변,NNG
981,이,JKS
982,되,VV
983,셨,EP+EP
984,길,ETN+JKO
985,바래,VV
986,요,EC
987,2,SN
988,박,NNBC
989,3,SN
990,일,NNBC
991,전주,NNG
992,여행,NNG
993,예산,NNG
994,30,SN
995,만,NR
996,원,NNBC
997,내외,NNG
998,숙소,NNG
999,13,SN
1000,만,NR
1001,원,NNBC
1002,은,JX
1003,적당,XR
1004,합니다,XSA+EC
1005,1,SN
1006,박,NNBC
1007,2,SN
1008,일,NNBC
1009,전주,NNP
1010,커플,NNG
1011,여행,NNG
1012,전주,NNG
1013,여행,NNG
1014,에,JKB
1015,대해,VV+EC
1016,도움,NNG
1017,을,JKO
1018,드릴게요,VV+EC
1019,1,SN
1020,남자,NNG
1021,친구,NNG
1022,의,JKG
1023,차,NNG
1024,를,JKO
1025,이용,NNG
1026,할지,XSV+EC
1027,KTX,SL
1028,를,JKO
1029,이용,NNG
1030,할지,XSV+EC
1031,에,JKB
1032,대해서,VV+EC
1033,는,JX
1034,여러,MM
1035,가지,NNBC
1036,요소,NNG
1037,를,JKO
1038,고려,NNG
1039,해,XSV+EC
1040,보,VX
1041,셔야,EP+EC
1042,합니다,VX+EF
1043,만약,MAG
1044,교통,NNG
1045,체증,NNG
1046,이,JKS
1047,예상,NNG
1048,되,XSV
1049,는,ETM
1050,날짜,NNG
1051,라면,VCP+EC
1052,KTX,SL
1053,를,JKO
1054,이용,NNG
1055,하,XSV
1056,는,ETM
1057,것,NNB
1058,이,JKS
1059,편할,VA+ETM
1060,수,NNB
1061,있,VV
1062,습니다,EF
1063,또한,MAJ
1064,남자,NNG
1065,친구,NNG
1066,의,NNG
1067,남,NNG
1068,해,XSV+EC
1069,",",SC
1070,전주,NNG
1071,여행,NNG
1072,남,NNG
1073,해,XSV+EC
1074,전주,NNG
1075,여행,NNG
1076,가,VV
1077,려는데,EC
1078,여행지,NNG
1079,와,JC
1080,맛집,NNG
1081,추천,NNG
1082,좀,MAG
1083,해,VV+EC
1084,주,VX
1085,세요,EP+EF
1086,보리암,NNP
1087,다랭이,NNG
1088,굴,NNG
1089,독일,NNP
1090,마을,NNG
1091,전주,NNP
1092,한옥마을,NNP
1093,빼,VV
1094,고,EC
1095,두세,MM
1096,개,NNBC
1097,씩,XSN
1098,5,SN
1099,명,NNBC
1100,이,XSN
1101,서,JKS
1102,갈,VV+ETM
1103,곳,NNG
1104,맛집,NNG
1105,빨리,MAG
1106,추천,NNG
1107,해,XSV+EC
1108,주,VX
1109,세요,EP+EF
1110,앞,NNG
1111,에,JKB
1112,말,NNG
1113,했,XSV+EP
1114,던,ETM
1115,곳,NNG
1116,은,JX
1117,갈,VV+ETM
1118,꺼,NNB+VCP
1119,라서,EC
1120,추천,NNG
1121,안,MAG
1122,해,VV+EC
1123,주,VX
1124,셔도,EP+EC
1125,됩니다,VV+EF
1126,전주,NNG
1127,여행,NNG
1128,전주,NNG
1129,맛집,NNG
1130,전주,NNG
1131,여행,NNG
1132,갈,VV+ETM
1133,곳,NNG
1134,추천,NNG
1135,전주,NNG
1136,여행,NNG
1137,전주,NNG
1138,맛집,NNG
1139,국내,NNG
1140,여행,NNG
1141,전,NNG
1142,주달,NNG
1143,봉,NNG
1144,이,JKS
1145,달,NNG
1146,봉,NNG
1147,티비,NNG
1148,전주,NNG
1149,여행,NNG
1150,코스,NNG
1151,전주,NNG
1152,가,JKS
1153,볼,VV+ETM
1154,만,NNB
1155,한,XSA+ETM
1156,곳,NNG
1157,여수,NNG
1158,여행,NNG
1159,여수,NNG
1160,가,JKS
1161,볼,VV+ETM
1162,만,NNB
1163,한,XSA+ETM
1164,곳,NNB
1165,제주,NNP
1166,도,JX
1167,여행,NNG
1168,제주도,NNP
1169,가,JKS
1170,볼,VV+ETM
1171,만,NNB
1172,한,XSA+ETM
1173,곳,NNG
1174,여행,NNG
1175,전문,NNG
1176,인,VCP+ETM
1177,플,NNG
1178,루,JKB
1179,언서,NNG
1180,전,NNG
1181,주달,NNG
1182,봉이,NNG
1183,입니다,VCP+EF
1184,전주,NNG
1185,여행,NNG
1186,코스,NNG
1187,는,JX
1188,한옥,NNG
1189,마을,NNG
1190,에서부터,JKB
1191,전주,NNG
1192,여행,NNG
1193,1,SN
1194,박,NNBC
1195,2,SN
1196,일,NNBC
1197,코스,NNG
1198,질문,NNG
1199,요,JX
1200,.,SF
1201,코스,NNG
1202,한,MM
1203,번,NNBC
1204,짜,VV+EC
1205,주,VX
1206,실,EP+ETM
1207,분,NNB
1208,전라도,NNP
1209,쪽,NNB
1210,은,JX
1211,저,NP
1212,도,JX
1213,여행,NNG
1214,을,JKO
1215,간,VV+ETM
1216,적,NNB
1217,이,JKS
1218,없,VA
1219,어서,EC
1220,전주,NNG
1221,여행,NNG
1222,전주,NNG
1223,맛집,NNG
1224,국내,NNG
1225,여행,NNG
1226,전,NNG
1227,주달,NNG
1228,봉,NNG
1229,이,JKS
1230,달,NNG
1231,봉,NNG
1232,티비,NNG
1233,전주,NNG
1234,여행,NNG
1235,코스,NNG
1236,전주,NNG
1237,가,JKS
1238,볼,VV+ETM
1239,만,NNB
1240,한,XSA+ETM
1241,곳,NNG
1242,여수,NNG
1243,여행,NNG
1244,여수,NNG
1245,가,JKS
1246,볼,VV+ETM
1247,만,NNB
1248,한,XSA+ETM
1249,곳,NNB
1250,제주,NNP
1251,도,JX
1252,여행,NNG
1253,제주도,NNP
1254,가,JKS
1255,볼,VV+ETM
1256,만,NNB
1257,한,XSA+ETM
1258,곳,NNG
1259,여행,NNG
1260,전문,NNG
1261,인,VCP+ETM
1262,플,NNG
1263,루,JKB
1264,언서,NNG
1265,전주,NNG
1266,여행,NNG
1267,3,SN
1268,일,NNBC
1269,전주,NNG
1270,여행,NNG
1271,3,SN
1272,일,NNBC
1273,간다면,VV+EC
1274,여행,NNG
1275,총,MM
1276,비용,NNG
1277,이,JKS
1278,얼마,NNG
1279,나올까요,VV+EF
1280,전주,NNG
1281,여행,NNG
1282,의,JKG
1283,총,MM
1284,비용,NNG
1285,은,JX
1286,여러,MM
1287,요소,NNG
1288,에,JKB
1289,따라,VV+EC
1290,달라지,VV
1291,지만,EC
1292,일반,NNG
1293,적,XSN
1294,으로,JKB
1295,다음,NNG
1296,과,JKB
1297,같,VA
1298,은,ETM
1299,항목,NNG
1300,들,XSN
1301,이,JKS
1302,포함,NNG
1303,됩니다,XSV+EC
1304,1,SN
1305,교통비,NNG
1306,전주,NNG
1307,까지,JX
1308,이동,NNG
1309,하,XSV
1310,기,ETN
1311,위한,VV+ETM
1312,교통,NNG
1313,비용,NNG
1314,이,JKS
1315,있,VV
1316,을,ETM
1317,것,NNB
1318,입니다,VCP+EF
1319,이,NP
1320,는,JX
1321,여행,NNG
1322,하,XSV
1323,는,ETM
1324,전주,NNG
1325,여행,NNG
1326,코스,NNG
1327,전주,NNG
1328,여행,NNG
1329,전주,NNG
1330,맛집,NNG
1331,국내,NNG
1332,여행,NNG
1333,전,NNG
1334,주달,NNG
1335,봉,NNG
1336,이,JKS
1337,달,NNG
1338,봉,NNG
1339,티비,NNG
1340,전주,NNG
1341,여행,NNG
1342,코스,NNG
1343,전주,NNG
1344,가,JKS
1345,볼,VV+ETM
1346,만,NNB
1347,한,XSA+ETM
1348,곳,NNG
1349,여수,NNG
1350,여행,NNG
1351,여수,NNG
1352,가,JKS
1353,볼,VV+ETM
1354,만,NNB
1355,한,XSA+ETM
1356,곳,NNB
1357,제주,NNP
1358,도,JX
1359,여행,NNG
1360,제주도,NNP
1361,가,JKS
1362,볼,VV+ETM
1363,만,NNB
1364,한,XSA+ETM
1365,곳,NNG
1366,여행,NNG
1367,전문,NNG
1368,인,VCP+ETM
1369,플,NNG
1370,루,JKB
1371,언서,NNG
1372,전,NNG
1373,주달,NNG
1374,봉이,NNG
1375,입니다,VCP+EF
1376,전주,NNG
1377,여행,NNG
1378,코스,NNG
1379,는,JX
1380,한옥,NNG
1381,마을,NNG
1382,에서부터,JKB
1383,시작,NNG
1384,을,JKO
1385,전주,NNG
1386,당일치기,NNG
1387,혼자,NNG
1388,여행,NNG
1389,코스,NNG
1390,추천,NNG
1391,박물관,NNG
1392,미술관,NNG
1393,지역,NNG
1394,공간,NNG
1395,을,JKO
1396,스토리,NNG
1397,로,JKB
1398,엮,VV
1399,어,EC
1400,안내,NNG
1401,하,XSV
1402,는,ETM
1403,해설,NNG
1404,형,XSN
1405,문화,NNG
1406,코스,NNG
1407,노,VV
1408,쇼,EC
1409,방지,NNG
1410,를,JKO
1411,위해,VV+EC
1412,5,SN
1413,천,NR
1414,원,NNBC
1415,예약금,NNG
1416,만,JX
1417,결제,NNG
1418,하,XSV
1419,고,EC
1420,현장,NNG
1421,에서,JKB
1422,5,SN
1423,천,NR
1424,천,NR
1425,원,NNBC
1426,상당,NNG
1427,음료,NNG
1428,기프,NNP
1429,티,NNG
1430,콘,NNG
1431,으로,JKB
1432,환급,NNG
1433,선착순,NNG
1434,마감,NNG
1435,이,VCP
1436,라,EC
1437,전주,NNG
1438,여행,NNG
1439,계획,NNG
1440,있,VV
1441,으신,EP+ETM
1442,분,NNB
1443,들,XSN
1444,은,JX
1445,전주,NNG
1446,여행,NNG
1447,차,NNG
1448,가,JKS
1449,필요,NNG
1450,한,XSA+ETM
1451,가요,NNG
1452,안녕,NNG
1453,하,XSV
1454,세요,EP+EF
1455,1,SN
1456,박,NNBC
1457,2,SN
1458,일,NNBC
1459,전주,NNG
1460,여행,NNG
1461,계획,NNG
1462,중,NNB
1463,입니다,VCP+EF
1464,서울,NNP
1465,에서,JKB
1466,전주,NNP
1467,까지,JX
1468,는,JX
1469,기차,NNG
1470,를,JKO
1471,타,VV
1472,고,EC
1473,갈,VX+ETM
1474,건데,NNB+VCP+EC
1475,전주,NNG
1476,내,NNB
1477,에서,JKB
1478,렌트,NNG
1479,를,JKO
1480,해야,VV+EC
1481,할지,VX+EC
1482,궁금,XR
1483,합니다,XSA+EF
1484,참고,NNG
1485,로,JKB
1486,전주,NNP
1487,한옥마을,NNP
1488,포함,NNG
1489,해서,XSV+EC
1490,유명,NNG
1491,관광지,NNG
1492,만,JX
1493,돌아볼,VV+ETM
1494,계획,NNG
1495,입니다,VCP+EF
1496,전주,NNG
1497,여행,NNG
1498,전주,NNG
1499,맛집,NNG
1500,국내,NNG
1501,여행,NNG
1502,전주,NNG
1503,여행,NNG
1504,.,SF
1505,.,SY
1506,전주,NNG
1507,여행,NNG
1508,전주,NNG
1509,맛집,NNG
1510,국내,NNG
1511,여행,NNG
