,words,tag
684,EC,SL
685,99,SN
686,80,SN
687,EA,SL
688,B,SL
689,0,SN
690,90,SN
691,EC,SL
692,84,SN
693,B,SL
694,1,SN
695,EC,SL
696,97,SN
697,AC,SL
698,ED,SL
699,96,SN
700,89,SN
701,EA,SL
702,B,SL
703,2,SN
704,BD,SL
705,EC,SL
706,A,SL
707,3,SN
708,BC,SL
709,ED,SL
710,95,SN
711,84,SN
712,EC,SL
713,88,SN
714,98,SN
715,EC,SL
716,BD,SL
717,94,SN
718,EC,SL
719,8,SN
720,A,SL
721,A,SL
722,4,SN
723,EC,SL
724,경주,NNP
725,여행,NNG
726,질문,NNG
727,경주,NNG
728,여행,NNG
729,코스,NNG
730,짜,VV+EC
731,봤,VX+EP
732,는데요,EF
733,이렇게,MAG
734,가,VV
735,도,EC
736,되,VV
737,나요,EF
738,그리고,MAJ
739,2,SN
740,일,NNBC
741,차,NNG
742,에,JKB
743,경주,NNP
744,시내,NNG
745,권,XSN
746,숙소,NNG
747,인데,VCP+EC
748,첨성대,NNG
749,코스,NNG
750,와,JC
751,황리,NNG
752,단,MM
753,길,NNG
754,은,JX
755,도보이,NNP
756,동,NNG
757,가능,NNG
758,한,XSA+ETM
759,가요,NNG
760,아니,VCN
761,면,EC
762,차,NNG
763,타,VV
764,고,EC
765,가,VX
766,야,EF
767,하나,NR
768,요,VCP+EC
769,1,SN
770,일,NNBC
771,차,NNG
772,불국사,NNG
773,권,XSN
774,숙소,NNG
775,1,SN
776,불국사,NNG
777,2,SN
778,석굴암,NNG
779,바람,NNG
780,의,JKG
781,언덕,NNG
782,3,SN
783,숙소,NNG
784,체크인,NNG
785,4,SN
786,경주,NNP
787,여행,NNG
788,2,SN
789,월,NNBC
790,에,JKB
791,2,SN
792,박,NNBC
793,3,SN
794,일,NNBC
795,로,JKB
796,경주,NNP
797,여행,NNG
798,가,VV
799,려고,EC
800,하,VV
801,는데,EC
802,펜션,NNG
803,이나,JC
804,호텔,NNG
805,예약,NNG
806,은,JX
807,몇,MM
808,달,NNBC
809,전,NNG
810,부터,JX
811,하,VV
812,는,ETM
813,게,NNB+JKS
814,좋,VA
815,을까요,EC
816,1,SN
817,달,NNBC
818,전,NNG
819,이,JKS
820,제일,MAG
821,좋,VA
822,습니다,EF
823,만,JX
824,가,VV
825,는,ETM
826,날짜,NNG
827,들,XSN
828,이,JKS
829,성수기,NNG
830,라면,VCP+EC
831,2,SN
832,달,NNBC
833,전,NNG
834,에,JKB
835,하,VV
836,는,ETM
837,게,NNB+JKS
838,좋,VA
839,겠,EP
840,죠,EF
841,경주,NNP
842,여행,NNG
843,당일치기,NNG
844,질문,NNG
845,이,VCP
846,요,EC
847,뚜,MAG
848,버,VV
849,기,ETN
850,인데,VCP+EC
851,1,SN
852,박,NNBC
853,할지,VV+EC
854,당일,NNG
855,치,VV
856,기,ETN
857,로,JKB
858,갔,VV+EP
859,다,EC
860,올지,VX+EC
861,모르,VV
862,겠,EP
863,는데,EC
864,우선,MAG
865,당일,NNG
866,로,JKB
867,갈,VV+ETM
868,거,NNB
869,같,VA
870,아요,EF
871,오전,NNG
872,11,SN
873,시,NNBC
874,쯤,NNB
875,경주,NNP
876,터미널,NNG
877,도착,NNG
878,오후,NNG
879,9,SN
880,시,NNBC
881,경주,NNP
882,터미널,NNG
883,에서,JKB
884,집,NNG
885,가,VV
886,는,ETM
887,버스,NNG
888,11,SN
889,시,NNBC
890,경주,NNP
891,버스,NNG
892,터미널,NNG
893,에,JKB
894,도착,NNG
895,한다고,XSV+EC
896,치,VV
897,면,EC
898,황리,NNG
899,단,MM
900,길,NNG
901,대릉원,NNG
902,첨성대,NNG
903,월,NNG
904,정교,NNG
905,동궁,NNG
906,과,JC
907,월지,NNG
908,경주,NNP
909,여행,NNG
910,가,VV
911,볼까,EC+VX+EC
912,하,VX
913,는데요,EF
914,?,SF
915,다른,MM
916,곳,NNG
917,은,JX
918,특별히,MAG
919,안,MAG
920,가,VV
921,고,EC
922,경주,NNP
923,만,JX
924,보,VV
925,려고요,EC
926,저,NP
927,도,JX
928,경주,NNP
929,여행,NNG
930,준비,NNG
931,하,XSV
932,면서,EC
933,진짜,MAG
934,헤맸,VV+EP
935,는데요,EF
936,시티투어,NNP
937,탈까,VV+EC
938,그냥,MAG
939,블로그,NNG
940,한,MM
941,번,NNBC
942,보,VV
943,고,EC
944,시작,NNG
945,해,XSV+EC
946,보,VX
947,세요,EP+EF
948,경주,NNP
949,여행,NNG
950,헛,XPN
951,걸음,NNG
952,없이,MAG
953,딱,MAG
954,맞,VV
955,게,EC
956,즐기,VV
957,고,EC
958,싶,VX
959,다면,EC
960,여기,NP
961,부터,JX
962,보,VV
963,시,EP
964,는,ETM
965,거,NNB
966,추천,NNG
967,드립니다,VV+EC
968,경주,NNP
969,여행,NNG
970,어때요,VA+EF
971,?,SF
972,고등학생,NNG
973,시절,NNG
974,추억,NNG
975,만들,VV
976,까,EC
977,해요,VX+EF
978,ㅠ,UNKNOWN
979,.,SF
980,..,SY
981,경주,NNP
982,여행,NNG
983,어때요,VA+EF
984,고등학생,NNG
985,시절,NNG
986,추억,NNG
987,만들,VV
988,까,EC
989,해요,VX+EF
990,로또,NNP
991,되,VV
992,는,ETM
993,꿈,NNG
994,꿨,VV+EP
995,는데,EC
996,해몽,NNG
997,해줘요,XSV+EC+VX+EC
998,컴퓨터,NNG
999,조립식,NNG
1000,은,JX
1001,얼마,NNG
1002,죠,VCP+EF
1003,경주,NNP
1004,여행,NNG
1005,은,JX
1006,고등학생,NNG
1007,시절,NNG
1008,의,JKG
1009,추억,NNG
1010,을,JKO
1011,만들,VV
1012,기,ETN
1013,에,JKB
1014,아주,MAG
1015,좋,VA
1016,은,ETM
1017,선택,NNG
1018,입니다,VCP+EF
1019,경주,NNP
1020,는,JX
1021,한국,NNP
1022,의,JKG
1023,역사,NNG
1024,와,JC
1025,문화,NNG
1026,를,JKO
1027,느낄,VV+ETM
1028,수,NNB
1029,있,VV
1030,는,ETM
1031,도시,NNG
1032,로,JKB
1033,남자,NNG
1034,혼자,NNG
1035,경주,NNP
1036,여행,NNG
1037,4,SN
1038,박,NNBC
1039,5,SN
1040,일,NNBC
1041,일정,NNG
1042,및,MAJ
1043,숙소,NNG
1044,예약,NNG
1045,문,NNG
1046,의,JKG
1047,혼자,NNG
1048,경주,NNP
1049,여행,NNG
1050,멋지,VA
1051,게,EC
1052,계획,NNG
1053,중,NNB
1054,이,VCP
1055,시,EP
1056,네요,EC
1057,4,SN
1058,박,NNBC
1059,5,SN
1060,일,NNBC
1061,이,VCP
1062,면,EC
1063,여유,NNG
1064,있,VV
1065,게,EC
1066,경주,NNG
1067,를,JKO
1068,제대로,MAG
1069,느낄,VV+ETM
1070,수,NNB
1071,있,VV
1072,는,ETM
1073,일정,NNG
1074,이,VCP
1075,에요,EF
1076,가성,NNG
1077,비,XPN
1078,숙소,NNG
1079,경주역,NNP
1080,근처,NNG
1081,게스트,NNP
1082,하우스,NNP
1083,나,JC
1084,황리,NNG
1085,단,MM
1086,길,NNG
1087,쪽,NNB
1088,한옥,NNP
1089,게스트,NNP
1090,하우스,NNP
1091,가,JKS
1092,가격,NNG
1093,도,JX
1094,좋,VA
1095,고,EC
1096,접근성,NNG
1097,도,JX
1098,좋,VA
1099,아요,EF
1100,바닷가,NNG
1101,이동,NNG
1102,경주,NNP
1103,여행,NNG
1104,루트,NNG
1105,천마총,NNG
1106,경주,NNP
1107,중앙,NNG
1108,시장,NNG
1109,경주,NNP
1110,여행,NNG
1111,일정,NNG
1112,을,JKO
1113,천마총,NNG
1114,갔,VV+EP
1115,다가,EC
1116,중앙,NNG
1117,시장,NNG
1118,가,VV
1119,려고,EC
1120,하,VV
1121,는데,EC
1122,네이버,NNP
1123,지도,NNG
1124,에,JKB
1125,검색,NNG
1126,해,XSV+EC
1127,보,VX
1128,니까,EC
1129,다시,MAG
1130,밑,NNG
1131,으로,JKB
1132,내려갔,VV+EP
1133,다가,EC
1134,올라가,VV
1135,라고,EC
1136,하,VV
1137,네요,EC
1138,동선,NNG
1139,낭비,NNG
1140,너무,MAG
1141,심한,VA+ETM
1142,데,NNB
1143,지도,NNG
1144,에,JKB
1145,나온,VV+ETM
1146,거,NNB
1147,처럼,JKB
1148,삥,MAG
1149,돌아가,VV
1150,야,EF
1151,하나,NR
1152,요,VCP+EC
1153,중간,NNG
1154,에,JKB
1155,나가,VV
1156,는,ETM
1157,문,NNG
1158,없,VA
1159,나요,EC
1160,천마총,NNG
1161,20,SN
1162,대,NNBC
1163,중반,NNG
1164,여성,NNG
1165,경주,NNP
1166,여행,NNG
1167,식당,NNG
1168,및,MAJ
1169,술집,NNG
1170,추천,NNG
1171,해,XSV+EC
1172,주,VX
1173,세요,EP+EF
1174,7,SN
1175,월,NNBC
1176,에,JKB
1177,친구,NNG
1178,들,XSN
1179,이랑,JC
1180,경주,NNP
1181,여행,NNG
1182,을,JKO
1183,가,VV
1184,는데,EC
1185,경주,NNP
1186,에,JKB
1187,대해서,VV+EC
1188,마땅히,MAG
1189,잘,MAG
1190,알,VV
1191,지,EC
1192,못해서,VX+EC
1193,막막,XR
1194,하,XSA
1195,네요,EC
1196,20,SN
1197,대,NNBC
1198,여자,NNG
1199,이,VCP
1200,며,EC
1201,술,NNG
1202,을,JKO
1203,좋아합니다,VV+EC
1204,황리,NNG
1205,단,MM
1206,길,NNG
1207,이랑,JC
1208,보문,NNG
1209,단지,MAG
1210,핫,NNG
1211,플,NNG
1212,추천,NNG
1213,해,XSV+EC
1214,주,VX
1215,세요,EP+EF
1216,그리고,MAJ
1217,맛있,VA
1218,는,ETM
1219,식당,NNG
1220,도,JX
1221,추천,NNG
1222,부탁,NNG
1223,드립니다,VV+EC
1224,하루,NNG
1225,는,JX
1226,시내,NNG
1227,권,XSN
1228,경주,NNP
1229,여행,NNG
1230,1,SN
1231,박,NNBC
1232,2,SN
1233,일,NNBC
1234,경주,NNP
1235,여행,NNG
1236,1,SN
1237,박,NNBC
1238,2,SN
1239,일,NNBC
1240,경비,NNG
1241,어느,MM
1242,정도,NNG
1243,나올까요,VV+EF
1244,숙소,NNG
1245,랑,JKB
1246,교통비,NNG
1247,빼,VV
1248,고요,EC
1249,쓰,VV
1250,기,ETN
1251,나름,NNB
1252,이,VCP
1253,지만,EC
1254,식대,NNG
1255,입장료,NNG
1256,간식,NNG
1257,정도,NNG
1258,이,VCP
1259,면,EC
1260,큰,VA+ETM
1261,돈,NNG
1262,은,JX
1263,들,VV
1264,지,EC
1265,않,VX
1266,겠,EP
1267,조,NR
1268,본인,NNG
1269,의,JKG
1270,주머니,NNG
1271,만큼,NNB
1272,생각,NNG
1273,해서,XSV+EC
1274,조절,NNG
1275,하,XSV
1276,여,EC
1277,쓰,VV
1278,는,ETM
1279,게,NNB+JKS
1280,좋,VA
1281,겠,EP
1282,네요,EF
1283,여유,NNG
1284,가,JKS
1285,있,VA
1286,다면,EC
1287,맛있,VA
1288,는,ETM
1289,것,NNB
1290,도,JX
1291,먹,VV
1292,고,EC
1293,해도,VV+EC
1294,좋,VA
1295,겠,EP
1296,죠,EF
1297,경주,NNP
1298,여행지,NNG
1299,2,SN
1300,박,NNBC
1301,3,SN
1302,일,NNBC
1303,추천,NNG
1304,이번,NNG
1305,에,JKB
1306,남자,NNG
1307,친구,NNG
1308,전역,NNG
1309,직전,NNG
1310,으로,JKB
1311,경주,NNP
1312,여행,NNG
1313,을,JKO
1314,가,VV
1315,기,ETN
1316,로,JKB
1317,했,VV+EP
1318,는데요,EF
1319,둘,NR
1320,다,MAG
1321,황리,NNG
1322,단,MM
1323,길,NNG
1324,외,NNB
1325,엔,JKB+JX
1326,아,VV
1327,는,ETM
1328,게,NNB+JKS
1329,없,VA
1330,어서요,EC
1331,차,NNG
1332,가,JKS
1333,있,VA
1334,어서,EC
1335,경주,NNP
1336,여행,NNG
1337,을,JKO
1338,계획,NNG
1339,하,XSV
1340,고,EC
1341,계시,VX
1342,는군요,EC
1343,별,MM
1344,다섯,NR
1345,개,NNBC
1346,경주,NNP
1347,2,SN
1348,박,NNBC
1349,3,SN
1350,일,NNBC
1351,여행,NNG
1352,코스,NNG
1353,를,JKO
1354,공유,NNG
1355,하,XSV
1356,니,EC
1357,내용,NNG
1358,참고,NNG
1359,하,XSV
1360,시,EP
1361,면,EC
1362,좋,VA
1363,을,ETM
1364,것,NNB
1365,같,VA
1366,습니다,EF
1367,아이,NNG
1368,랑,JC
1369,일,NR
1370,박,NNBC
1371,이,NR
1372,일,NNBC
1373,경주,NNP
1374,여행,NNG
1375,코스,NNG
1376,다섯,NR
1377,살,NNBC
1378,아이,NNG
1379,와,JKB
1380,함께,MAG
1381,경주,NNP
1382,로,JKB
1383,가족,NNG
1384,여행,NNG
1385,을,JKO
1386,갑니다,VV+EC
1387,첫날,NNG
1388,점심,NNG
1389,쯤,XSN
1390,경주역,NNP
1391,도착,NNG
1392,예정,NNG
1393,이,VCP
1394,고,EC
1395,숙소,NNG
1396,는,JX
1397,보문관광단지,NNP
1398,근처,NNG
1399,입니다,VCP+EF
1400,둘째,NR
1401,날,NNG
1402,은,JX
1403,경주,NNP
1404,월드,NNG
1405,를,JKO
1406,다녀오,VV
1407,고,EC
1408,오후,NNG
1409,4,SN
1410,시,NNBC
1411,쯤,XSN
1412,경주,NNP
1413,를,JKO
1414,떠날,VV+ETM
1415,계획,NNG
1416,입니다,VCP+EF
1417,직접,MAG
1418,운전,NNG
1419,할,XSV+ETM
1420,예정,NNG
1421,인데,VCP+EC
1422,코스,NNG
1423,를,JKO
1424,어떻게,MAG
1425,짜,VV
1426,야,EC
1427,경주,NNP
1428,여행,NNG
1429,추천,NNG
1430,안녕,NNG
1431,하,XSA
1432,세영,NNP
1433,경주,NNP
1434,여행,NNG
1435,할려고,VV+EC
1436,하,VV
1437,는,ETM
1438,10,SN
1439,대,NNBC
1440,인데,VCP+EC
1441,여,NNG
1442,황리,NNG
1443,단,MM
1444,길,NNG
1445,근처,NNG
1446,어둑,XR
1447,한,XSA+ETM
1448,분위기,NNG
1449,좋,VA
1450,겟,EP
1451,어요,EF
1452,경주,NNP
1453,여행,NNG
1454,가이드,NNG
1455,교통편,NNG
1456,맛집,NNG
1457,볼거리,NNG
1458,까지,JX
1459,모두,MAG
1460,알려,VV+EC
1461,줄,VX+ETM
1462,게,NNB+JKS
1463,요,JX
1464,경주,NNP
1465,여행,NNG
1466,가이드,NNG
1467,교통편,NNG
1468,맛집,NNG
1469,볼거리,NNG
1470,까지,JX
1471,모두,MAG
1472,알려,VV+EC
1473,줄,VX+ETM
1474,게요,NNB+VCP+EC
1475,경주,NNP
1476,여행,NNG
1477,동선,NNG
1478,부탁,NNG
1479,드려요,VV+EC
1480,1,SN
1481,박,NNBC
1482,으로,JKB
1483,어린애,NNG
1484,들,XSN
1485,데리,VV
1486,고,EC
1487,경주,NNP
1488,여행,NNG
1489,할,XSV+ETM
1490,거,NNB
1491,에요,VCP+EF
1492,숙소,NNG
1493,는,JX
1494,보문,NNG
1495,단지,NNG
1496,이,VCP
1497,구요,EF
1498,우선,MAG
1499,정도,NNG
1500,경주,NNP
1501,여행,NNG
1502,을,JKO
1503,다녀온,VV+ETM
1504,것,NNB
1505,같,VA
1506,은데요,EC
1507,아이,NNG
1508,랑,JC
1509,경주,NNP
1510,여행,NNG
1511,하,XSV
1512,면서,EC
1513,체험,NNG
1514,코스,NNG
1515,맛집,NNG
1516,경주,NNP
1517,여행,NNG
1518,TIP,SL
1519,1,SN
1520,경주,NNP
1521,여행,NNG
1522,코스,NNG
1523,는,JX
1524,크,VA
1525,게,EC
1526,시내,NNG
1527,권,XSN
1528,보문관광단지,NNP
1529,토함산,NNP
1530,남산,NNG
1531,경주,NNP
1532,여행,NNG
1533,3,SN
1534,박,NNBC
1535,4,SN
1536,일,NNBC
1537,갈려고,VV+EC
1538,하,VV
1539,는,ETM
1540,데,NNB
1541,24,SN
